"First Name","Last Name",Country,Email,Phone,LoyaltyPoints
Fatima,Dubois,Pakistan,NULL,NULL,NULL
Aisha,Johansson,France,NULL,NULL,NULL
Carlos,Khan,"South Korea",NULL,NULL,NULL
John,Dubois,Sweden,NULL,NULL,NULL
Olivia,Dubois,Russia,NULL,NULL,NULL
Santiago,Yamamoto,France,NULL,NULL,NULL
Sara,Martinez,Egypt,NULL,NULL,NULL
David,MYller,"South Korea",NULL,NULL,NULL
Maria,Johansson,Mexico,NULL,NULL,NULL
Ingrid,Olsen,Nigeria,NULL,NULL,NULL
David,Garcia,China,NULL,NULL,NULL
Chen,Lee,"South Korea",NULL,NULL,NULL
Ingrid,Khan,Brazil,NULL,NULL,NULL
Olivia,Yamamoto,India,NULL,NULL,NULL
Elena,Garcia,Nigeria,NULL,NULL,NULL
Lucas,Rossi,Mexico,NULL,NULL,NULL
Carlos,Schneider,India,NULL,NULL,NULL
Elena,Rossi,Germany,NULL,NULL,NULL
Muhammad,Brown,Sweden,NULL,NULL,NULL
Muhammad,Schneider,Italy,NULL,NULL,NULL
David,Nguyen,India,NULL,NULL,NULL
Sara,Martinez,Australia,NULL,NULL,NULL
Aisha,Sato,Brazil,NULL,NULL,NULL
Fatima,Schneider,Italy,NULL,NULL,NULL
Muhammad,Brown,Germany,NULL,NULL,NULL
Santiago,Rossi,France,NULL,NULL,NULL
Sara,Smith,Egypt,NULL,NULL,NULL
Elena,Patel,Italy,NULL,NULL,NULL
Muhammad,Kim,Nigeria,NULL,NULL,NULL
Elena,Yamamoto,Russia,NULL,NULL,NULL
Ingrid,Lee,"United Kingdom",NULL,NULL,NULL
Ahmed,Smith,Russia,NULL,NULL,NULL
David,Smith,Brazil,NULL,NULL,NULL
Isabella,Lee,India,NULL,NULL,NULL
Muhammad,Smith,Mexico,NULL,NULL,NULL
Hiroshi,Smith,Mexico,NULL,NULL,NULL
Liam,Sato,"United Kingdom",NULL,NULL,NULL
Zhang,Hassan,Russia,NULL,NULL,NULL
Sophia,Ivanov,Mexico,NULL,NULL,NULL
John,MYller,"United States",NULL,NULL,NULL
Ingrid,Rossi,Mexico,NULL,NULL,NULL
Aisha,Johansson,Pakistan,NULL,NULL,NULL
Olivia,Hassan,Vietnam,NULL,NULL,NULL
Aisha,Yamamoto,"United Kingdom",NULL,NULL,NULL
Aisha,Nguyen,Canada,NULL,NULL,NULL
Muhammad,Hassan,Italy,NULL,NULL,NULL
Elena,MYller,Egypt,NULL,NULL,NULL
Liam,MYller,"South Korea",NULL,NULL,NULL
Zhang,Smith,France,NULL,NULL,NULL
Isabella,Garcia,China,NULL,NULL,NULL
David,Dubois,Australia,NULL,NULL,NULL
David,Dubois,Canada,NULL,NULL,NULL
Liam,MYller,Spain,NULL,NULL,NULL
Ingrid,Martinez,Spain,NULL,NULL,NULL
Elena,Ivanov,India,NULL,NULL,NULL
Isabella,Kim,Italy,NULL,NULL,NULL
Elena,Silva,Vietnam,NULL,NULL,NULL
Lucas,Sato,Brazil,NULL,NULL,NULL
Hiroshi,Smith,Mexico,NULL,NULL,NULL
Santiago,Ivanov,Brazil,NULL,NULL,NULL
Olivia,Olsen,Nigeria,NULL,NULL,NULL
John,Olsen,Australia,NULL,NULL,NULL
Olivia,Sato,Italy,NULL,NULL,NULL
Zhang,Nguyen,Germany,NULL,NULL,NULL
Elena,Martinez,Nigeria,NULL,NULL,NULL
Ahmed,MYller,India,NULL,NULL,NULL
Santiago,Garcia,France,NULL,NULL,NULL
David,Schneider,"United States",NULL,NULL,NULL
Isabella,Olsen,"United Kingdom",NULL,NULL,NULL
David,Yamamoto,"United Kingdom",NULL,NULL,NULL
Muhammad,Schneider,Japan,NULL,NULL,NULL
Maria,Nguyen,Egypt,NULL,NULL,NULL
Muhammad,Rossi,Japan,NULL,NULL,NULL
Aisha,Rossi,Japan,NULL,NULL,NULL
Olivia,Patel,China,NULL,NULL,NULL
Chen,Patel,Nigeria,NULL,NULL,NULL
Santiago,Yamamoto,Spain,NULL,NULL,NULL
Ahmed,Garcia,Mexico,NULL,NULL,NULL
Olivia,Johansson,Pakistan,NULL,NULL,NULL
Ahmed,Rossi,China,NULL,NULL,NULL
Sophia,MYller,Russia,NULL,NULL,NULL
Chen,Garcia,Canada,NULL,NULL,NULL
Elena,Ivanov,Australia,NULL,NULL,NULL
Sara,Johansson,Germany,NULL,NULL,NULL
Ahmed,Nguyen,"United Kingdom",NULL,NULL,NULL
Isabella,Smith,Sweden,NULL,NULL,NULL
Santiago,Hassan,Japan,NULL,NULL,NULL
Santiago,Nguyen,"South Korea",NULL,NULL,NULL
Elena,Khan,"United States",NULL,NULL,NULL
Chen,Ivanov,"United States",NULL,NULL,NULL
Ahmed,Khan,Germany,NULL,NULL,NULL
Aisha,Dubois,Germany,NULL,NULL,NULL
Hiroshi,Kim,Mexico,NULL,NULL,NULL
Hiroshi,Olsen,Brazil,NULL,NULL,NULL
Sophia,Smith,Italy,NULL,NULL,NULL
Fatima,Smith,Pakistan,NULL,NULL,NULL
Zhang,Smith,China,NULL,NULL,NULL
Zhang,Lee,Australia,NULL,NULL,NULL
Chen,MYller,Sweden,NULL,NULL,NULL
John,Garcia,Canada,NULL,NULL,NULL
Aisha,Yamamoto,"United States",NULL,NULL,NULL
Aisha,Sato,Russia,NULL,NULL,NULL
Liam,Ivanov,Pakistan,NULL,NULL,NULL
Olivia,Martinez,Sweden,NULL,NULL,NULL
Hiroshi,Brown,China,NULL,NULL,NULL
Hiroshi,Olsen,"United States",NULL,NULL,NULL
Santiago,Lee,Japan,NULL,NULL,NULL
Aisha,Brown,Egypt,NULL,NULL,NULL
Muhammad,Sato,China,NULL,NULL,NULL
Muhammad,Silva,Sweden,NULL,NULL,NULL
Zhang,Patel,Mexico,NULL,NULL,NULL
Liam,MYller,Italy,NULL,NULL,NULL
Aisha,Patel,Brazil,NULL,NULL,NULL
David,Olsen,Vietnam,NULL,NULL,NULL
Muhammad,Kim,France,NULL,NULL,NULL
Lucas,Johansson,Japan,NULL,NULL,NULL
Elena,Smith,Vietnam,NULL,NULL,NULL
John,Sato,China,NULL,NULL,NULL
Isabella,Rossi,Japan,NULL,NULL,NULL
Sara,Hassan,India,NULL,NULL,NULL
Lucas,Lee,Spain,NULL,NULL,NULL
Fatima,Martinez,Pakistan,NULL,NULL,NULL
John,Dubois,Japan,NULL,NULL,NULL
Muhammad,Smith,Japan,NULL,NULL,NULL
John,Hassan,"United Kingdom",NULL,NULL,NULL
Sophia,Garcia,Germany,NULL,NULL,NULL
Sara,Patel,Vietnam,NULL,NULL,NULL
Ahmed,Smith,Egypt,NULL,NULL,NULL
John,Nguyen,Pakistan,NULL,NULL,NULL
Muhammad,Sato,"United States",NULL,NULL,NULL
David,Lee,Sweden,NULL,NULL,NULL
Sophia,Sato,Russia,NULL,NULL,NULL
Olivia,Garcia,Nigeria,NULL,NULL,NULL
Liam,Brown,Sweden,NULL,NULL,NULL
Aisha,Garcia,Canada,NULL,NULL,NULL
Isabella,Dubois,"South Korea",NULL,NULL,NULL
Chen,Garcia,"South Korea",NULL,NULL,NULL
Sara,Yamamoto,Japan,NULL,NULL,NULL
Ingrid,Hassan,"South Korea",NULL,NULL,NULL
Sara,Sato,Australia,NULL,NULL,NULL
Olivia,Lee,Mexico,NULL,NULL,NULL
Carlos,Silva,Sweden,NULL,NULL,NULL
David,Silva,Vietnam,NULL,NULL,NULL
Muhammad,Kim,Vietnam,NULL,NULL,NULL
Hiroshi,MYller,Sweden,NULL,NULL,NULL
Isabella,MYller,"United Kingdom",NULL,NULL,NULL
Hiroshi,Silva,Russia,NULL,NULL,NULL
Isabella,Ivanov,Vietnam,NULL,NULL,NULL
Aisha,Kim,"United Kingdom",NULL,NULL,NULL
Carlos,Johansson,Mexico,NULL,NULL,NULL
Liam,Schneider,"United Kingdom",NULL,NULL,NULL
Lucas,Johansson,Nigeria,NULL,NULL,NULL
John,Ivanov,France,NULL,NULL,NULL
Maria,Silva,"South Korea",NULL,NULL,NULL
Hiroshi,Khan,Egypt,NULL,NULL,NULL
Liam,MYller,China,NULL,NULL,NULL
Chen,Smith,Canada,NULL,NULL,NULL
Isabella,Schneider,Japan,NULL,NULL,NULL
Aisha,Ivanov,Russia,NULL,NULL,NULL
Lucas,Patel,Vietnam,NULL,NULL,NULL
Muhammad,Kim,"South Korea",NULL,NULL,NULL
Maria,Smith,China,NULL,NULL,NULL
David,Yamamoto,Nigeria,NULL,NULL,NULL
Liam,Patel,Vietnam,NULL,NULL,NULL
Lucas,Ivanov,Australia,NULL,NULL,NULL
Chen,Kim,Sweden,NULL,NULL,NULL
Elena,Garcia,China,NULL,NULL,NULL
Elena,Kim,Russia,NULL,NULL,NULL
Chen,Yamamoto,"United Kingdom",NULL,NULL,NULL
Fatima,Khan,Australia,NULL,NULL,NULL
John,Ivanov,Australia,NULL,NULL,NULL
Carlos,Kim,"United States",NULL,NULL,NULL
David,Lee,Pakistan,NULL,NULL,NULL
Aisha,Brown,"United States",NULL,NULL,NULL
Sophia,Khan,Mexico,NULL,NULL,NULL
Ingrid,Yamamoto,India,NULL,NULL,NULL
David,Martinez,Nigeria,NULL,NULL,NULL
Carlos,Kim,Mexico,NULL,NULL,NULL
Olivia,Patel,Sweden,NULL,NULL,NULL
Elena,Rossi,Brazil,NULL,NULL,NULL
Lucas,Smith,Australia,NULL,NULL,NULL
Sophia,Hassan,Italy,NULL,NULL,NULL
Sophia,Silva,Germany,NULL,NULL,NULL
Zhang,Khan,Vietnam,NULL,NULL,NULL
Liam,Nguyen,Japan,NULL,NULL,NULL
Elena,Schneider,China,NULL,NULL,NULL
Ahmed,Khan,Nigeria,NULL,NULL,NULL
Fatima,Smith,Vietnam,NULL,NULL,NULL
Chen,Rossi,Mexico,NULL,NULL,NULL
Elena,Olsen,Pakistan,NULL,NULL,NULL
Zhang,Nguyen,Germany,NULL,NULL,NULL
Aisha,Patel,Australia,NULL,NULL,NULL
Isabella,Yamamoto,Egypt,NULL,NULL,NULL
David,Patel,France,NULL,NULL,NULL
Ingrid,Martinez,Japan,NULL,NULL,NULL
Sophia,Yamamoto,Italy,NULL,NULL,NULL
Chen,Martinez,Germany,NULL,NULL,NULL
John,Brown,India,NULL,NULL,NULL
Santiago,Rossi,Spain,NULL,NULL,NULL
David,Rossi,Italy,NULL,NULL,NULL
John,Johansson,Vietnam,NULL,NULL,NULL
Isabella,Yamamoto,China,NULL,NULL,NULL
Muhammad,Hassan,Sweden,NULL,NULL,NULL
David,Khan,Spain,NULL,NULL,NULL
Muhammad,Rossi,Brazil,NULL,NULL,NULL
Olivia,Nguyen,China,NULL,NULL,NULL
John,Patel,Sweden,NULL,NULL,NULL
Carlos,Yamamoto,India,NULL,NULL,NULL
Olivia,Brown,Pakistan,NULL,NULL,NULL
Elena,Khan,China,NULL,NULL,NULL
Olivia,Johansson,"South Korea",NULL,NULL,NULL
Muhammad,Johansson,"United States",NULL,NULL,NULL
Liam,Lee,Russia,NULL,NULL,NULL
Maria,Silva,Japan,NULL,NULL,NULL
Isabella,Rossi,Spain,NULL,NULL,NULL
Isabella,Khan,France,NULL,NULL,NULL
Hiroshi,Silva,Russia,NULL,NULL,NULL
Chen,Ivanov,"United States",NULL,NULL,NULL
Isabella,Ivanov,Egypt,NULL,NULL,NULL
Chen,Hassan,Japan,NULL,NULL,NULL
Ahmed,Ivanov,Japan,NULL,NULL,NULL
Carlos,Khan,Mexico,NULL,NULL,NULL
Santiago,Dubois,"United Kingdom",NULL,NULL,NULL
Ingrid,Ivanov,Germany,NULL,NULL,NULL
Elena,Hassan,Australia,NULL,NULL,NULL
Carlos,Martinez,Canada,NULL,NULL,NULL
Santiago,Dubois,Australia,NULL,NULL,NULL
Zhang,Patel,Brazil,NULL,NULL,NULL
Ingrid,MYller,Pakistan,NULL,NULL,NULL
Fatima,Smith,Sweden,NULL,NULL,NULL
Lucas,Silva,Sweden,NULL,NULL,NULL
Chen,Ivanov,France,NULL,NULL,NULL
Fatima,Khan,Egypt,NULL,NULL,NULL
Olivia,MYller,China,NULL,NULL,NULL
Lucas,Rossi,"South Korea",NULL,NULL,NULL
Muhammad,Nguyen,Canada,NULL,NULL,NULL
Isabella,Olsen,Sweden,NULL,NULL,NULL
Isabella,Khan,Australia,NULL,NULL,NULL
Aisha,Ivanov,Pakistan,NULL,NULL,NULL
John,Ivanov,"United States",NULL,NULL,NULL
Zhang,Sato,India,NULL,NULL,NULL
Chen,Nguyen,Russia,NULL,NULL,NULL
Ingrid,Garcia,"South Korea",NULL,NULL,NULL
Maria,Johansson,India,NULL,NULL,NULL
Sara,Brown,Mexico,NULL,NULL,NULL
Hiroshi,Lee,Mexico,NULL,NULL,NULL
Maria,Garcia,Germany,NULL,NULL,NULL
Elena,Nguyen,India,NULL,NULL,NULL
Muhammad,Garcia,Brazil,NULL,NULL,NULL
David,Sato,Spain,NULL,NULL,NULL
Aisha,Khan,Italy,NULL,NULL,NULL
Santiago,Hassan,Sweden,NULL,NULL,NULL
Zhang,Olsen,France,NULL,NULL,NULL
Maria,Lee,France,NULL,NULL,NULL
Olivia,Lee,Nigeria,NULL,NULL,NULL
Chen,Nguyen,France,NULL,NULL,NULL
Sara,Johansson,Mexico,NULL,NULL,NULL
Aisha,MYller,Pakistan,NULL,NULL,NULL
Ahmed,Brown,"South Korea",NULL,NULL,NULL
Lucas,Silva,Canada,NULL,NULL,NULL
Olivia,Patel,Australia,NULL,NULL,NULL
Olivia,Garcia,France,NULL,NULL,NULL
Elena,Rossi,Nigeria,NULL,NULL,NULL
Aisha,Brown,India,NULL,NULL,NULL
Chen,Silva,Sweden,NULL,NULL,NULL
Ahmed,Olsen,"United Kingdom",NULL,NULL,NULL
Liam,Patel,Nigeria,NULL,NULL,NULL
Chen,Rossi,India,NULL,NULL,NULL
Lucas,Olsen,Australia,NULL,NULL,NULL
Elena,Olsen,Vietnam,NULL,NULL,NULL
Santiago,Brown,Italy,NULL,NULL,NULL
Isabella,Dubois,Spain,NULL,NULL,NULL
Maria,Kim,Nigeria,NULL,NULL,NULL
Santiago,Kim,Canada,NULL,NULL,NULL
Ahmed,Yamamoto,Nigeria,NULL,NULL,NULL
John,Johansson,Brazil,NULL,NULL,NULL
Hiroshi,Brown,Spain,NULL,NULL,NULL
Chen,MYller,"United States",NULL,NULL,NULL
John,Ivanov,"South Korea",NULL,NULL,NULL
Zhang,Yamamoto,"South Korea",NULL,NULL,NULL
Sophia,Smith,"United Kingdom",NULL,NULL,NULL
Lucas,Brown,Australia,NULL,NULL,NULL
David,Nguyen,Japan,NULL,NULL,NULL
Santiago,Johansson,Vietnam,NULL,NULL,NULL
Muhammad,Martinez,Sweden,NULL,NULL,NULL
David,Rossi,Russia,NULL,NULL,NULL
Isabella,Rossi,Vietnam,NULL,NULL,NULL
Carlos,Ivanov,India,NULL,NULL,NULL
Sara,Sato,Canada,NULL,NULL,NULL
Ahmed,Dubois,"United Kingdom",NULL,NULL,NULL
Fatima,Smith,France,NULL,NULL,NULL
Chen,Brown,China,NULL,NULL,NULL
Fatima,Yamamoto,India,NULL,NULL,NULL
Hiroshi,Lee,Mexico,NULL,NULL,NULL
Santiago,Brown,Mexico,NULL,NULL,NULL
Isabella,Lee,Germany,NULL,NULL,NULL
Fatima,Sato,Sweden,NULL,NULL,NULL
Sophia,Dubois,Brazil,NULL,NULL,NULL
Sara,Kim,"United Kingdom",NULL,NULL,NULL
Isabella,Johansson,Australia,NULL,NULL,NULL
John,Brown,Egypt,NULL,NULL,NULL
Hiroshi,Olsen,Nigeria,NULL,NULL,NULL
Aisha,Olsen,Mexico,NULL,NULL,NULL
Sara,Smith,Italy,NULL,NULL,NULL
Zhang,Kim,"United Kingdom",NULL,NULL,NULL
Elena,Johansson,India,NULL,NULL,NULL
